ntc_id,prov,plan_id,adm,ntwk_org,sat_name,long_nom,act_code,ntf_rsn,st_cur,d_rcv,wic_no,wic_part,ntc_type,adm_ref_id,tgt_ntc_id,stn_name,long_dec,lat_dec,ctry
79540002,"9.1/IA",,"USA",,"TDRS WEST",-171,"M","A","50","10/21/09 00:00:00",2678,,"G",,,,,,
79540006,"9.1/IA",,"USA",,"TDRS EAST",-41,"M","A","50","10/21/09 00:00:00",2678,,"G",,,,,,
85540023,"9.1/IA",,"USA",,"TDRS-C2",-79,"M","A","50","10/21/09 00:00:00",2678,,"G",,,,,,
87500010,"RR1488",,"IND",,"SROSS-1",,"A","N","50","09/08/87 00:00:00",1944,"2","N",,,,,,
88540037,"9.1/IA",,"USA",,"TDRS 62W",-62,"M","A","50","10/21/09 00:00:00",2678,,"G",,,,,,
89540036,"9.1/IA",,"USA",,"TDRS 174W",-174,"M","A","50","10/21/09 00:00:00",2678,,"G",,,,,,
89540052,"9.1/IA",,"USA",,"TDRS 46W",-46,"M","A","50","10/21/09 00:00:00",2678,,"G",,,,,,
90500001,"11.2",,"INS",,"PALAPA-B3",118,"M","N","50","04/30/13 00:00:00",2865,"2","G",,,,,,
90500007,"RR1488",,"CHN",,"STW-1",125,"M","N","50","01/18/96 00:00:00",2256,"2","G",,,,,,
90500037,"11.2",,"INS",,"PALAPA-B1",108,"M","N","50","06/13/11 00:00:00",2890,"2","G",,,,,,
90500039,"11.2",,"INS",,"PALAPA-B2",113,"M","N","50","04/09/96 00:00:00",2258,"2","G",,,,,,
90500052,"RR1488",,"INS",,"PALAPA-B3",118,"A","N","50","12/11/90 00:00:00",,,"S",,,"BANDA ACEH",95.317001,5.5500002,"INS"
90500053,"RR1488",,"INS",,"PALAPA-B3",118,"A","N","50","12/11/90 00:00:00",,,"S",,,"BHAYANGKARA",140.717,-2.533,"INS"
90500054,"RR1488",,"INS",,"PALAPA-B3",118,"A","N","50","12/11/90 00:00:00",,,"S",,,"DENDENGAN DALAM",124.85,1.483,"INS"
