grp_id,ctry
81700596,"RUS"
81700597,"RUS"
81700612,"GUM"
81700612,"HWA"
81700612,"USA"
81700613,"GUM"
81700613,"HWA"
81700613,"USA"
81700614,"MWM"
81700616,"MWM"
81700617,"MWM"
81700618,"MWM"
81700619,"MWM"
82702164,"MWM"
82702165,"MWM"
83706671,"S"
83706672,"S"
83706675,"S"
83706676,"S"
83706679,"MWM"
83706680,"MWM"
83706681,"MWM"
83706693,"BUL"
83706693,"CZE"
83706693,"POL"
83706693,"RUS"
83706694,"BUL"
83706694,"CZE"
83706694,"POL"
83706694,"RUS"
83706695,"BUL"
83706695,"CZE"
83706695,"POL"
83706695,"RUS"
83706696,"BUL"
83706696,"CZE"
83706696,"POL"
83706696,"RUS"
83706697,"BUL"
83706697,"CZE"
83706697,"POL"
83706697,"RUS"
83706698,"BUL"
83706698,"CZE"
83706698,"POL"
83706698,"RUS"
83706699,"BUL"
83706699,"CZE"
83706699,"POL"
83706699,"RUS"
83706700,"BUL"
83706700,"CZE"
83706700,"POL"
83706700,"RUS"
83706701,"BUL"
83706701,"CZE"
83706701,"POL"
83706701,"RUS"
83706702,"BUL"
83706702,"CZE"
83706702,"POL"
83706702,"RUS"
83706703,"BUL"
83706703,"CZE"
83706703,"POL"
83706703,"RUS"
83706704,"BUL"
83706704,"CZE"
83706704,"POL"
83706704,"RUS"
83706705,"BUL"
83706705,"CZE"
83706705,"POL"
83706705,"RUS"
83706706,"BUL"
83706706,"CZE"
83706706,"POL"
83706706,"RUS"
83706708,"BUL"
83706708,"CZE"
83706708,"POL"
83706708,"RUS"
83706709,"BUL"
83706709,"CZE"
83706709,"POL"
83706709,"RUS"
83706710,"BUL"
83706710,"CZE"
83706710,"POL"
83706710,"RUS"
83706711,"BUL"
83706711,"CZE"
83706711,"POL"
83706711,"RUS"
83706712,"BUL"
83706712,"CZE"
83706712,"POL"
83706712,"RUS"
83706713,"BUL"
83706713,"CZE"
83706713,"POL"
83706713,"RUS"
83706992,"MWM"
83706993,"MWM"
83706994,"ALS"
83706994,"GUM"
83706994,"HWA"
83706994,"USA"
83707001,"MWM"
83707002,"MWM"
83707003,"MWM"
83707004,"MWM"
83707005,"MWM"
83707006,"MWM"
83707007,"MWM"
83707008,"MWM"
83707012,"AUS"
83707012,"E"
83707012,"USA"
83707013,"AUS"
83707013,"E"
83707013,"USA"
83707038,"MWM"
83707039,"IND"
83707040,"IND"
83707041,"IND"
83707042,"IND"
83707044,"IND"
83707046,"IND"
83707049,"IND"
83707051,"IND"
83707059,"IND"
83707060,"IND"
83707061,"IND"
83707062,"IND"
83707064,"IND"
83707066,"IND"
83707068,"IND"
83707070,"IND"
83707107,"AUS"
83707107,"E"
83707107,"USA"
83707108,"AUS"
83707108,"E"
83707108,"USA"
83707109,"AUS"
83707109,"E"
83707109,"USA"
83707110,"AUS"
83707110,"E"
83707110,"USA"
83707111,"AUS"
83707111,"E"
83707111,"USA"
83707112,"AUS"
83707112,"E"
83707112,"USA"
83707284,"CUB"
83707284,"D"
83707284,"RUS"
83707285,"CUB"
83707285,"D"
83707285,"RUS"
87603290,"IND"
87603292,"IND"
87603294,"IND"
87603296,"IND"
87717228,"MWM"
87717229,"MWM"
87717230,"MWM"
87717231,"MWM"
87717232,"IND"
87717233,"IND"
87717234,"IND"
88712755,"IND"
88712756,"IND"
88712757,"IND"
88712758,"IND"
88712762,"IND"
88712763,"IND"
88712764,"IND"
88712765,"IND"
88712766,"IND"
88712767,"IND"
88712824,"IND"
89602028,"GUM"
89602028,"HWA"
89602028,"USA"
89602030,"GUM"
89602030,"HWA"
89602030,"USA"
89718480,"GUM"
89718480,"HWA"
89718480,"USA"
89718481,"GUM"
89718481,"HWA"
89718481,"USA"
89718482,"GUM"
89718482,"HWA"
89718482,"USA"
90604877,"USA"
90742242,"USA"
91601766,"USA"
91601780,"USA"
91602117,"CHN"
91602130,"CHN"
91602143,"CHN"
91602156,"CHN"
91602169,"CHN"
91602182,"CHN"
91602195,"CHN"
91602208,"CHN"
91602221,"CHN"
91602234,"CHN"
91602247,"CHN"
91602273,"CHN"
91602299,"CHN"
91602312,"CHN"
91602325,"CHN"
91602338,"CHN"
91602351,"CHN"
91602470,"PAK"
91602470,"THA"
91602483,"PAK"
91602483,"THA"
91602496,"PAK"
91602496,"THA"
91602509,"PAK"
91602509,"THA"
91602522,"PAK"
91602522,"THA"
91602535,"PAK"
91602535,"THA"
91602548,"PAK"
91602548,"THA"
91602561,"PAK"
91602561,"THA"
91602574,"PAK"
91602574,"THA"
91602587,"PAK"
91602587,"THA"
91602600,"PAK"
91602600,"THA"
91602613,"PAK"
91602613,"THA"
91602626,"PAK"
91602626,"THA"
91602639,"PAK"
91602639,"THA"
91602652,"PAK"
91602652,"THA"
91602691,"PAK"
91602691,"THA"
91602730,"PAK"
91602730,"THA"
91602756,"PAK"
91602756,"THA"
91602769,"PAK"
91602769,"THA"
91602782,"PAK"
91602782,"THA"
91602795,"PAK"
91602795,"THA"
91602808,"PAK"
91602808,"THA"
91602821,"PAK"
91602821,"THA"
91602834,"PAK"
91602834,"THA"
91602886,"PAK"
91602886,"THA"
91602951,"HKG"
91602954,"HKG"
91602957,"HKG"
91609062,"J"
91609066,"J"
91609070,"J"
91609074,"J"
91609078,"J"
91609086,"J"
91609094,"J"
91609102,"J"
91609210,"J"
91609214,"J"
91609218,"J"
91609226,"J"
91609234,"J"
92600306,"AUS"
92600308,"AUS"
92600310,"AUS"
92600318,"AUS"
92600320,"AUS"
92600328,"AUS"
92600336,"AUS"
92600344,"AUS"
92600353,"AUS"
92600362,"AUS"
92600371,"AUS"
92600489,"NZL"
92600498,"NZL"
92600507,"NZL"
92600516,"NZL"
92600525,"NZL"
92600535,"NZL"
92600544,"NZL"
92600549,"AUS"
92600549,"CHR"
92600549,"ICO"
92600549,"NFK"
92600672,"AUS"
92600672,"CHR"
92600672,"ICO"
92600672,"NFK"
92606782,"B"
92606784,"B"
92606787,"B"
92606789,"B"
92609078,"AUS"
92609078,"E"
92609078,"J"
92609078,"USA"
92609080,"AUS"
92609080,"E"
92609080,"J"
92609080,"USA"
92609082,"AUS"
92609082,"E"
92609082,"J"
92609082,"USA"
92609084,"AUS"
92609084,"E"
92609084,"J"
92609084,"USA"
92609086,"AUS"
92609086,"E"
92609086,"J"
92609086,"USA"
92609088,"AUS"
92609088,"E"
92609088,"J"
92609088,"USA"
92609090,"AUS"
92609090,"E"
92609090,"J"
92609090,"USA"
92609092,"AUS"
92609092,"E"
92609092,"J"
92609092,"USA"
92609094,"AUS"
92609094,"E"
92609094,"J"
92609094,"USA"
92609096,"AUS"
92609096,"E"
92609096,"J"
92609096,"USA"
92609098,"AUS"
92609098,"E"
92609098,"J"
92609098,"USA"
92609100,"AUS"
92609100,"E"
92609100,"J"
92609100,"USA"
92609102,"AUS"
92609102,"E"
92609102,"J"
92609102,"USA"
92609104,"AUS"
92609104,"E"
92609104,"J"
92609104,"USA"
92609106,"AUS"
92609106,"E"
92609106,"J"
92609106,"USA"
92609108,"AUS"
92609108,"E"
92609108,"J"
92609108,"USA"
92610902,"NZL"
92610907,"NZL"
92612689,"HWA"
92612689,"USA"
92612693,"MWM"
92612695,"MWM"
92612697,"MWM"
92613407,"ALS"
92613407,"GUM"
